Company,Description,Experience,Salary,Title
Quinnox Solutions Pte Ltd,"Develop & drive effective IT security compliance programs. Skills : Governance , Compliance , security risk , Security Governance , ISO 27001/5 , NIST Risk Management , Cissp",3-13 Years,Not Specified,Cyber Risk & Compliance Senior Analyst
GMP Technologies,"Responsible for expanding and optimizing the data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Skills : data pipeline , Data Engineer , Sql , Azure , Big Data",3-12 Years,Not Specified,"Data Engineer (Big data) – 12 months contract, Immediate"
Quinnox Solutions Pte Ltd,"Responsible in data migration process for all phases from data mapping, data Extraction, data Transformation, and data Loading (ETL) in practical with quality. Skills : Data Migration Manager , Data Conversion , Data Mapping , Healthcare , Data Migration , Data Extraction",5-15 Years,Not Specified,Data Migration Manager (Healthcare)
Sciente Consulting Pte. Ltd,"Seeking a dynamic person with strong communication skills for the position of Project Analyst with the Treasury and Markets division of a well established organization in the financial services domain. Skills : Business Analysis , Testing , Banking Domain , Project Coordinator , Pmo",0-5 Years,Not Specified,Project Analyst
Sciente Consulting Pte. Ltd,"Great opportunity to work with one of the leading banks in Singapore and be a part of Risk Data Mart team for performing daily operational data checks. Skills : Risk Analyst , Data , Sql , Data Governance , Data Mart",3-7 Years,Not Specified,Risk Analyst
Sciente International Pte Ltd,"Our client is seeking an experienced individual who has data science skill-sets to be an advocate for the organisation's data analytics capabilities! Skills : Report , Data Analytics , Data Mining",5-10 Years,Not Specified,"Assistant Director, HR Analytics"
Charterhouse Pte Ltd,"Senior FP&A Analyst (APAC) with an Excellent Brand Name within the Consumer Goods / Medical Devices Industry Skills : Financial Planning And Analysis , Fmcg , Medical Devices , Pharmaceutical",5-8 Years,Not Specified,Senior FP&A Analyst (APAC)
AXA Group Operations Malaysia Sdn Bhd,"Looking for Data Engineer who can provide technical expertise bothto shape the data strategy of the company and to provide actual solutions to business challenges faced currently by operational entities. Skills : RDD , Dataframe , athena , Spark , Data Engineer , data engineering , aws , Emr , S3 , Lambda , data engineering",4-9 Years,Not Specified,Data Engineer
GMP Technologies,"An experienced data pipeline person who enjoys optimizing data systems and building them from the ground up. He/She may even re-designing our company’s data architecture to support our next generation of products and data initiatives. Skills : Data Pipeline , Data Architecture , data engineering , Data Architect , Technical Architect , Data Engineer",5-8 Years,"7,000-8,000 SGD",Data Engineer (Data Pipeline Architecture Optimisation )
AXA Group Operations Malaysia Sdn Bhd,"As a Data Scientist, your main mission will be to provide your technical expertise both to shape the data strategy of the company and to provide actual solutions to business challenges faced currently by operational entities in the field of customer Skills : Data Processing , R , scikit-learn , R , MLlib , web scripting , Data Scientist , data mining , social network analysis",3-10 Years,Not Specified,Data Scientist
Bps World Pte Ltd,"This is a great opportunity to further your career within data center engineering as candidates with minimal (1yr) experience will be considered - work with a global organisation that pioneers new technology within their data center portfolio. Skills : Infrastructure , Data Center , Data Centre , Server",1-4 Years,Not Specified,Data Center Engineer
Vishay Intertechnology Asia Pte Ltd,"Minimum 5 to 10 years of relevant costing and accounting experiences. Skills : Cost Inventory Analyst , costing , accounting , Product Costing , Management Reporting , margin analysis",5-10 Years,Not Specified,Cost Inventory Analyst
Versant Systems Pte Ltd,"The successful candidate has a good IT background with good level knowledge of multiple relevant security practice areas (anti-malware solutions, patch and vulnerability management, network security; monitoring; endpoint, etc.). Skills : ""anti-malware solutions"" , ""patch management"" , ""vulnerability management"" , ""network security"" , Monitoring",7-12 Years,Not Specified,Senior Cyber Security Analyst
Charterhouse Pte Ltd,"Newly Created Senior FP&A Analyst (Asia) position with a Pharmaceutical Brand at Accelerated Growth Stages Skills : Financial Planning And Analysis , Financial Analysis , Analyst , Consumer , Fmcg , Pharmaceutical , Healthcare",5-7 Years,Not Specified,Senior FP&A Analyst (Asia)
Versant Systems Pte Ltd,"we are looking for someone who is proficient in Java/J2EE with some knowledge on Oracle as backend and UI/UX knowledge is a plus. Strong BA Skills (User Interactions, Conducting Workshops, Trainings, UAT) Skills : Business Analyst , Workshops , Training , user interaction , Java , J2EE , Spring , Hibernate , Struts , System Analyst",8-13 Years,Not Specified,Business Analyst (Java/J2EE)
Luxoft India Llp,Deploy ETL and EDM solutions to manage investment data and credit derivative pricing. Our team: Seasoned team of engineers ranging from SMEs in private equity/ investment domains to expert in data modelling and visualisation. Software used: Informati Skills : Markit Edm,5-15 Years,Not Specified,Data Management Senior Analyst
Company Name Confidential,"Our client is an established organization within the Banking & Financial Services domain. They are seeking for a Data Analyst to be part of the Data Quality team. Skills : Data Quality , Informatica Data Quality , Powerbi",1-10 Years,Not Specified,Data Quality Analyst
SnapHunt Pte Ltd,"Test Analyst Skills : Test Analyst , Development , Quality Assurance , Software Development , Cloud Computing , Testing",5-10 Years,Not Specified,Test Analyst
Sciente Consulting Pte. Ltd,"A leading insurance multinational corporation is currently searching for a passionate and enthusiastic Business Analyst to be part of their Digital team. Skills : Business Analyst , Digital Transformation",0-3 Years,Not Specified,Digital Business Analyst
Optimum Solutions (Singapore) Pte Ltd,"Treasury FX Business Analyst - Scrum Skills : Treasury , Fx , Foreign exchange , Forex , Business Analyst , BusinessConsultant , System Analyst",3-8 Years,"5,000-10,000 SGD",IT Business Analyst (Scrum + Financial Market + Treasury )
SnapHunt Pte Ltd,"Business Analyst Skills : Business Analyst , Project Management , It Management , Financial Service , Java , Bootstrap",1-5 Years,Not Specified,Business Analyst
Collabera Technologies Private Limited Inc,"looking for a PMO Analyst Skills : Program Mgt , Pmo , Pmo Analyst",4-10 Years,Not Specified,PMO Analyst
U3 Infotech Pte Ltd,"We are looking forward to hire a Data Analyst who will use SQL and python for structuring the unstructured data. This person will be a hands-on professional. Skills : Data Analyst , Models , Analytics , Analytical , Data Processing , Data Science , Sql , Python , Dashboard",1-10 Years,"4,000-8,000 SGD",Data Analyst
SnapHunt Pte Ltd,"Defining, developing and maintaining reports to support decision making. Skills : Data Analysis , Statistical Modeling , Data Mining",3-13 Years,Not Specified,Senior Market Research Analyst
SnapHunt Pte Ltd,"Monitoring and being accountable for the key Operations KPIs. Translating data into business insights.Building action plans based on the KPIs & business insights Skills : Business Analyst , Project Management , Operations Manager",3-10 Years,Not Specified,Operations Manager (Strategy & Planning)
GECO Asia Pte Ltd,"Role: Data Analyst in Singapore Start: ASAP Duration: Permanent Location: Singapore Skills : Teradata , Hadoop , Hive , Spark , Etl",3-11 Years,Not Specified,Data Analyst in Singapore - JOB_001448
Talent Trader Group Pte Ltd,"Develop set processes for data mining, data modeling, and data production Skills : Data Analyst",0-5 Years,Not Specified,Data Engineer (Big Data)
SnapHunt Pte Ltd,"Reviewing credit applications, researching business models and designing the best way to evaluate credit risk of SME And assessing and analysing borrower's financial and other data points to help to assist in credit decision. Skills : Risk Management , Credit Risk , Risk Compliance",0-5 Years,Not Specified,Credit Risk Analyst
DBS Bank Ltd,"Skills : Analyst , Junior Data Scientist , DBS Transformation Group Posted: 8 days ago",0-0 SGD,"Business Function Here at the DBS Transformation Group, we focus on nurturing the culture of the ""World’s Best Digital Bank"" (Euromoney, 2016 & 2018) and Best Bank in the World (Euromoney 2019). Our","Analyst, Junior Data Scientist, DBS Transformation Group"
Optimum Solutions (Singapore) Pte Ltd,"We are hiring for a Data Scientist/ Analyst to design a data management plan that includes definition of IT architecture, data security and sharing protocol for a government education sector project. Skills : data scientist",3-8 Years,"4,000-7,000 SGD",Data Scientist (6 Months + Govt Projects)
SnapHunt Pte Ltd,"Data Engineer - Financial Services Skills : Data Analysis , Financial Services , Scripting Language , Data Engineer , Financial Domain",2-12 Years,Not Specified,Data Engineer - Financial Services
Techbridge Market Holdings Pte Ltd,"Your primary focus will be on the Business Requirements and Functional Solution aspects of the project. Skills : IT Business Analyst , Agile Methodology , Data Analytics , Cloud",4-7 Years,Not Specified,Digital Business Analyst
Cloud Kinetics Solutions Pte Ltd,"Looking for Business systems analyst with experience in Tableau or Powerbi Skills : BA , bsa , business systems analyst , System Analyst , Powerbi , Tableau , agile , requirement gathering",5-8 Years,Not Specified,Business Systems analyst Tableau Powerbi
Centre for Strategic Infocomm Technologies,"CSIT is a civilian agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. We are looking for highly motivated and talented engineers in cyber security, data analytics and information technology. Skills : Software Analyst , Reverse Engineering , Cyber Security , Security Analyst , Information Security , Malware Analysis",0-10 Years,Not Specified,Cyber Security Software Researcher
Talent Trader Group Pte Ltd,"Responsible for database design & review, administration and operation, confidentiality, integrity and availability of data assets Skills : Data Management",2-5 Years,Not Specified,System Analyst (Data Management)
Sciente Consulting Pte. Ltd,Our Client is one of the largest Asian banks headquartered in Singapore and is currently searching for Finance Analyst to aid the Vice President. Skills : Finance Analyst,2-5 Years,Not Specified,Finance Analyst
DC Frontiers Pte Ltd,We are looking for Data Engineers with a combination of programming and data skills to build dynamic data pipelines that can be deployed to both Cloud and non-Cloud infrastructures. Skills : Database Developer,5-15 Years,Not Specified,Data Engineer
Gateway Search Pte Ltd,"We are hiring ""Web Developer - Sitecore"" for a system Integrator based in Singapore Skills : Sitecore CMS , C# , Web Development",3-10 Years,Not Specified,Web Developer - Sitecore
Company Name Confidential,"A challenging opportunity awaits you! Our client within the Financial Services is looking for Data Business Analysts to join their team. Skills : Data Analyst , Sql",2-10 Years,Not Specified,Data Business Analyst
Talent Trader Group Pte Ltd,"You will assist in budgeting and forecasting processes, and to support cross functional teams, products team and senior management in areas relating to data analytics and automation. You will continually look into enhancing reporting processes and fr Skills : Financial Planning & Analysis , Financial Analyst , FP & A , Forecasting , Cash Flow , Budgeting",1-10 Years,Not Specified,"Senior/Finance Analyst, FP&A"
Apar Technologies Private Limited,KYC ANALYST (SPANISH SPEAKING) Skills : Spanish,1-10 Years,Not Specified,KYC ANALYST (SPANISH SPEAKING)
Sciente Consulting Pte. Ltd,Our client is looking for a conscientious individual to join as a Fixed Income Analyst in the T&M Operations team. Skills : Analyst,1-4 Years,Not Specified,Fixed Income Analyst
Centre for Strategic Infocomm Technologies,"CSIT is a civilian agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. We are looking for highly motivated and talented engineers in cyber security, data analytics and information technology. Skills : Threat Research Analyst , Cyber Security , Malware Analysis",0-10 Years,Not Specified,Cyber Threat Researcher
Techcom Solutions Pte Ltd,"Specify use cases and the corresponding functional and non-functional requirements, translate business requirements into technical requirements Skills : Scrum , Sdlc , Json , HTML , JIRA",3-8 Years,Not Specified,Business Analyst
Kelly Services (S) Pte Ltd - IT,"Looking for Lead Business Analyst role. Skills : Business Analyst , BusinessConsultant , BA",10-20 Years,Not Specified,Lead Business Analyst
Company Name Confidential,"Our client is an established organization within the Banking & Financial Services domain. They are seeking for a meticulous change analyst to be part of the Data Governance team. Skills : Data Governance Analyst , Data Analysis , Risk Assessment , data governance processes , Data Analyst",2-7 Years,Not Specified,Data Governance Analyst
U3 Infotech Pte Ltd,"covering data protection aspect of the business services. The product areas covered will include McAfee ePO administration and Data Leakage Skills : Pilot testing , Data Protection , Dlp , Mcafee , data leakage , Data Security",3-8 Years,Not Specified,Data Protection Support
Ness Global Services Pte Ltd,• 3-4 years of experience as SOC analyst • Support the design and deployment of a comprehensive security infrastructure to support real-time security monitoring operations • Monitor security events globally • Analyze network traffic Skills : Security Analyst,3-4 Years,Not Specified,Security Analyst
Sciente Consulting Pte. Ltd,Our client is looking for a dedicated and experienced individual to be a part of their T&M Operations team to explore in the collateral industry within the financial domain. Skills : Operations Analyst,2-6 Years,Not Specified,Operations Analyst
Company Name Confidential,A challenging opportunity awaits you! Our client within the Financial Services is looking for Data Business Analysts to join their team. Skills : Sql,2-7 Years,Not Specified,Data Business Analyst
Sciente Consulting Pte. Ltd,"A top global bank is looking for a passionate Data Management Specialist be part of their team. The team would be supporting the bank's Access Control of personnel, data and facilities. Skills : Database Administrator",1-5 Years,Not Specified,Data Management Specialist
Encora Technologies Pte Ltd,"• Business requirements (jointly with BU Specialist) • Functional requirements (incl. input/output, data, security) • Non-functional requirements • Requirements Analysis & Elicitation o Collaborate with BU Specialists to elicit, review and update bu Skills : Compliance , Legal and Audit",5-15 Years,Not Specified,Financial Business Analyst
Collabera Technologies Private Limited Inc,"Data security L2 JD: Experience: min 6-8 years of network security experience and willingness to work in other Data Security technologies Skills : Network Security , Data Security , Http , Tcp/ip , Https , Firewall , Proxy",6-8 Years,Not Specified,Data Security
Sciente International Pte Ltd,"Our client within the leading hospitality industry is seeking for a Data Engineer to support their complex enterprise level IT projects. Candidates with strong leadership experience shall be considered for a lead role. Skills : ETL Developer , Data Processing , data pipelines , Business Analysis , Data Analyst , Data Analysis , Data Engineer",2-12 Years,Not Specified,Data Engineer (Lead)
Crédit Agricole Corporate and Investment Bank,"The open position is to join one major investment project to answer to FRTB regulation. To be ready to tackle the regulatory requirement, the Market Risk Information System platform is being redesign to be global and adaptable. Skills : Hdfs , Java , J2EE , Java J2ee , Spark , Kafka , Hadoop , Hive , Mq Series , Activemq , Hbase",4-9 Years,Not Specified,Intermediate Spark Big Data Developer - Contract
SnapHunt Pte Ltd,"As a KYC & Credit Risk Analyst you will review credit application and ensure documentation is compliant with regulatory requirements for the region Skills : Kyc , Credit Risk Analyst , Credit Risk , Credit Analysis , Risk Management , Credit Analyst , Financial Services",1-5 Years,Not Specified,KYC & Credit Risk Analyst
DBS Bank Ltd,"Skills : VP / AVP , Smart Ops Manager , Consumer Banking Operations , Technology & Operations Posted: a day ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","VP / AVP, Smart Ops Manager, Consumer Banking Operations, Technology & Operations"
Helius Technologies Pte Ltd,"Tableau , SQL, Power BI Skills : Tableau , Power Bi , Sql",5-10 Years,"7,000-8,000 SGD",Business System Analyst
Xcellink Pte Ltd,"The qualified candidate is expected to have a thorough understanding of functional development data migration tools and experience in delivery of the software development in financial environment. Skills : Data Processing , Data Migration Specialist , Banking Operations , Fintec",4-9 Years,Not Specified,Senior Data Migration Analyst
Charterhouse Pte Ltd,"Our reputed client is a global technology company from the United States with businesses across software, computer hardware, infrastructure services, and consulting services. Skills : Cissp , Windows , Linux",4-6 Years,Not Specified,Assistant Manager - Threat Monitoring
Company Name Confidential,"Our client is an established organization within the Banking & Financial Services domain. They are seeking for a meticulous change analyst to be part of the Data Governance team. Skills : Banking Operations , Data Governance",2-10 Years,Not Specified,Change Analyst (Data Governance)
Comtel Solutions Pte Ltd,"for SAN storage Technical Analyst to support our SAN storage infrastructure. The SAN storage we have mainly Hitachi, NetApp and IBM. Skills : Hitachi , HPE Storages , Brocade SAN , San , Storage Area Network , Ibm , Netapp",4-8 Years,Not Specified,San Storage Engineer
Sciente Consulting Pte. Ltd,"A challenging opportunity awaits you! Our client within the Financial Services is looking for Data Analysts to join their team. You will be working on change management and production support for the Global Data Warehouse applications in the bank. Skills : Sql Queries , Etl Tools , Hadoop , Qlik View , Qlik Sense",0-3 Years,Not Specified,Data Analyst (JD#5783)
Kelly Services (S) Pte Ltd - IT,Looking for Senior Business Analyst role. Skills : Project Manager,10-20 Years,Not Specified,Project Manager
Gateway Search Pte Ltd,"Hiring ""Android Developer"" for a IT services company based in Singapore Skills : Android SDK , Java , Kotlin , Android Application Development , Android Development",2-10 Years,Not Specified,Android Developer - Permanent Role
GMP Technologies,"Proficient in system analysis and project management in banking industry Skills : Banking Software , banking system analyst , project management , System Analyst , Project Manager",5-10 Years,Not Specified,IT Project Manager (Application – Banking)
Gateway Search Pte Ltd,"Hiring ""Android Developer"" for a System Integrator company based In Singapore. Candidate should have experience in Android Application development using JAVA/Kotlin/Android SDK Skills : android developer , Android Development , Android SDK , Java , Kotlin",1-10 Years,Not Specified,Android Developer - Permanent ROle
Zenith Infotech (S) Pte Ltd,Presently we have a Job Opening for a Business Analyst position with one of our leading clients in Singapore  Relevant working experience as a developer/Business analyst or equivalent in at least 2 Agile/full project development life cycle. Skills : Business Analyst,7-17 Years,Not Specified,Business Analyst (Only Singaporeans or PRs need apply)
Talent Trader Group Pte Ltd,"Search, design and prepare solutions and interfaces to help and assist system functionality Skills : J2EE",0-5 Years,Not Specified,System Analyst (J2EE)
GMP Recruitment Services (S) Pte Ltd,"Planning, studying and collecting data to determine costs of business activity such as raw material purchases, inventory and labor Skills : SAP / Ufida ERP system / manufacturing environment , metal stamping/injection moulding industry background",3-8 Years,Not Specified,Cost Controller (Up $5000 / Manufacturing / Data Analytic / West)
Talent Trader Group Pte Ltd,"Develop set processes for data mining, data modeling, and data production Skills : Etl",0-5 Years,Not Specified,Data Engineer (Big Data)
Talent Trader Group Pte Ltd,"Develop set processes for data mining, data modeling, and data production Skills : Spark , Hadoop , Etl",0-5 Years,Not Specified,Data Engineer (Big Data)
Encora Technologies Pte Ltd,To assist in delivering BA role task for Cash Road Map P19 project for Remittance system. Skills : Payments (SWIFT & RTGS) Open System & AS400 application,5-15 Years,Not Specified,Business Analyst
PrimeStaff Management Services Pte Ltd,"Business Analyst Skills : Business Analyst , BusinessConsultant , FunctionalConsultant , System Analyst , Senior business analyst",3-5 Years,Not Specified,Business Analyst - Upto $5K
Company Name Confidential,Our client is an established organization within the Banking & Financial Services domain. They are looking for an IT Operations Analyst who can help with the IT Asset Management and IT operational procurement tasks. You will also be involved in UAT. Skills : It Operations,0-5 Years,Not Specified,IT Operations Analyst
DBS Bank Ltd,"Skills : VP / AVP , Group Consumer Banking and Big Data Analytics Technology , Technology and ... , SCRUM Master Posted: 6 days ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","VP / AVP, SCRUM Master, Group Consumer Banking and Big Data Analytics Technology, Technology and ..."
DBS Bank Ltd,"Skills : VP / AVP , Big Data Solution Architect , Group Consumer Banking and Big Data Analytics Technology Posted: 25 days ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","VP / AVP, Big Data Solution Architect, Group Consumer Banking and Big Data Analytics Technology, ..."
DBS Bank Ltd,"Skills : Associate / Analyst , Structured Derivatives Products Processing , Treasury & Market Operation , Tec... Posted: 14 days ago",0-0 SGD,"Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & contr","Associate / Analyst, Structured Derivatives Products Processing, Treasury & Market Operation, Tec..."
Pactera Limited,"We are seeking for a dynamic and passionate individual for the Test Analyst position • Over 3 years of experiences in Software Application Testing • Based at Fusionopolis HQ or Client Offices. • Reporting to Project Lead and may work independently. Skills : Test , Qc , Q.A. , Quality Control , Migration And Testing Case , QA Case , Test Engineer Case , Testing , Quality assurance",2-7 Years,"3,000-4,700 SGD",**Urgent Need** Test Analysts with Pactera Technologies Singapore
Company Name Confidential,"An exciting opportunity for a Risk Reporting Analyst to be part of the Risk Management Group in Banking Industry. Skills : Reporting Analyst , Risk Analyst , Asset Liability Management , liquidity risk",0-3 Years,Not Specified,ALM Risk Reporting Analyst
Talent Trader Group Pte Ltd,"gathering data migration requirements and draw out project plan/process Skills : Oracle , Sql , UNIX , Linux , DOS",1-10 Years,Not Specified,Senior Data Migration Analyst (POS)
Zenith Infotech (S) Pte Ltd,"Datawarehouse Business Analyst (15 yrs Project Management Experience) This is a 1 year contract role assigned to our client Skills : Business Analyst , Project Management , Datawarehousing",15-20 Years,Not Specified,Datawarehouse Business Analyst (15 yrs Project Management Experience) - Contract Role
Sciente Consulting Pte. Ltd,We are looking for a passionate Business Analyst who is keen to work for a world recognised banking client in the area of regulatory trade reporting. Skills : Business Analyst,4-10 Years,Not Specified,Business Analyst
Company Name Confidential,"Our client is an established organization within the Banking & Financial Services domain. They are seeking a techno-functional Business Analyst to be a part of the transformation team for the SAP Human Resource (HR) systems. Skills : Sap Consultant , Sap Functional , Functional Consultant",1-10 Years,Not Specified,SAP Business Analyst
Globesoft Services Pte Ltd,"We are looking for Information Security Manager who possess deep expertise in the security space, to govern the policies and harden IT Systems (which contain highly sensitive data) from attacks Skills : Cissp , Cism",8-12 Years,"72,000-96,000 SGD",Information Security Manager
Optimum Solutions (Singapore) Pte Ltd,"We are hiring for our renowned banking client for a SOC level 1 analyst Skills : Security operation centre , Security Analyst , Soc",2-6 Years,Not Specified,SOC L1 Analyst
Hitachi Consulting Singapore Pte Ltd,"Business Analyst (80%) and Project management (20%) and should have good experience in Remittance & Deposits. Should have 10+ years of experience as BA & managed a team of 3 to 4 memebers with SQL Exp Skills : Business Analyst (BA) , Banking , Bfsi , Financial Services , Remittance , Deposits , Documentation , Etl ,",10-15 Years,Not Specified,Business Analyst
United Parcel Service Singapore Pte Ltd,Posted: 5 days ago APPLY,Not Specified,Job Summary This Application Support Analyst collects information and participates in the identification of incident and problem trends in a 24x7 environment. He/She conducts root cause analysis and,UPS IT Analyst (Applications Support)
Comtel Solutions Pte Ltd,"Analyse test requirements to prepare test scenarios and test cases Skills : Test Analyst , Test Engineer , Tester , Test Scenarios , Test Cases , Test Data Preparation , Testing , Software Testing",3-5 Years,Not Specified,Test Analyst
Centre for Strategic Infocomm Technologies,"CSIT is a civilian agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. We are looking for highly motivated and talented engineers in cyber security, data analytics and information technology. Skills : big data platform , data platform technology , nifi , kudu , Spark , Kafka , Hbase , Hive , Hadoop , Solr , Elastic Search",0-5 Years,Not Specified,Data Platform Engineer
United Parcel Service Singapore Pte Ltd,Posted: 5 days ago APPLY,Not Specified,"Summary The Rate Setting Analyst analyzes, develops, and implements theannual rate increase and rate initiatives for UPS Domestic and Global services.He/She manages and participates in market researc",UPS Marketing (Revenue Management) Rate Setting Analyst (6 months contract)
Centre for Strategic Infocomm Technologies,"CSIT is a civilian agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. We are looking for highly motivated and talented engineers in cyber security, data analytics and information technology. Skills : analytics technology , Data Analysis , visualisation , technology scan , Trends , data preparation , data sharing",2-12 Years,Not Specified,Business Analytics Engineer
Gateway Search Pte Ltd,"We are hiring ""Scrum Master"" for a System Integrator based in Singapore. Experience in .Net project implementation with team handling is required Skills : .NET Framework , ASP Framework , VB Framework , Scrum Master , Agile Methodology , ASP.NET , VB.NET",6-12 Years,Not Specified,Scrum Master - Permanent Role
Centre for Strategic Infocomm Technologies,"CSIT is a civilian agency in the Ministry of Defence (MINDEF) that conducts R&D in infocomm and infosecurity technologies. We are looking for highly motivated and talented engineers in cyber security, data analytics and information technology. Skills : Data Analysis , Data Scientist , Machine Learning , Data Analytics , Data Visualization",0-5 Years,Not Specified,Data Scientist
Sciente International Pte Ltd,"Our client is looking for a Manager for a Data Strategy team You will work collaboratively with and through all levels in the organisation and partners to support the digital transformation journey to adopt data science and artificial intelligence. Skills : Data Strategy Manager , Data Strategy , data exchange , data framework , Statistics , Data Science ,",3-7 Years,Not Specified,Data Strategy Manager
United Parcel Service Singapore Pte Ltd,Posted: 5 days ago APPLY,Not Specified,"Reportingto the Supervisor, this analyst is responsible for maintaining accuracy andtimely processing of treasury related work in the Corporate Treasury Unit. Job Responsibilities: * Support daily",UPS Regional Treasury Analyst
DBS Bank Ltd,"Skills : Vp , Outsourcing Insights Analyst , outsourcing management , Group Tech COO Posted: a month ago",0-0 SGD,"Business Function In the course of achieving business agility and cost efficiency, suitable functions within the bank are outsourced to vendors both locally and overseas. The Outsourcing Management (","VP, Outsourcing Insights Analyst, Outsourcing Management, Group Tech COO"
Pan-Asia Resources Pte Ltd,Scope includes recurring billing payments. Dispute billing is kept out of scope along with Interco billing. Skills : data settlement,2-7 Years,Not Specified,Data Settlement
Pan-Asia Resources Pte Ltd,• Perform validation against partners’ invoice details and client’s records Skills : data settelment,0-5 Years,Not Specified,Data Settlement
Sciente Consulting Pte. Ltd,"Are you looking for a next exciting career move? Our Client in the financial services sector is looking for a Business Analyst for transformation projects to join their dynamic team. Skills : Business Analyst , BA , BusinessConsultant , Financial Analyst , FunctionalConsultant , Senior business analyst",3-11 Years,Not Specified,Business Analyst - Digital
SnapHunt Pte Ltd,"Contributing to and driving continuous process improvement initiatives to meet business needs. Establishing project plans, resources, budgets and time-frames, and assigning tasks. Skills : Project Management , IT Business Analyst , PWA , Sql , UNIX , Swift , Project Manager",4-7 Years,Not Specified,Business Analyst - Digital Banking
Optimum Solutions (Singapore) Pte Ltd,We are currently hiring for a System analyst with experience in Veeva Vault Skills : Veeva Vault,3-7 Years,Not Specified,System Analyst - Veeva Vault
